epoch,stage,train_loss,train_acc,val_loss,val_acc
1,stage1,2.068600891292959,47.53103917455638,1.2478816253798348,64.56781764838637
2,stage1,1.336497375930565,63.59204036510006,1.0177934791360583,70.14218009478672
3,stage1,1.1908179137153903,66.16021316401157,0.9378963683332716,70.503272399007
4,stage1,1.1150746833587037,67.87799761891263,0.8541917562484741,73.61769352290679
5,stage1,1.0541392499985902,69.47672770565225,0.8823583543300628,72.55698487925976
6,stage1,1.0001491554405377,71.37025908498214,0.7886871576309205,75.3103136989393
7,stage1,0.9900901442852573,71.0811270480186,0.7845751387732369,75.55856465809073
8,stage1,0.9808186167392178,71.34191280684846,0.7781676590442658,75.55856465809073
9,stage1,0.9784324475820514,71.6763988888259,0.7673786614622389,75.96479350033853
10,stage1,0.9765246255674224,71.85214581325472,0.7675238749810628,76.28074926653126
11,stage2,0.7968268148277117,75.64487782754125,0.5082823408501489,83.61543669600542
12,stage2,0.6244273859521617,80.91161630477919,0.4567872471043042,84.63100880162492
13,stage2,0.539346240568852,82.78247066160213,0.4187422492674419,86.43647032272625
14,stage2,0.490098224385925,84.61930948466467,0.41407410608870643,86.39133378469872
15,stage2,0.46960681374522223,85.24859685923238,0.3806688003242016,87.74542992552472
16,stage2,0.38427495114181354,87.74873859062305,0.33635289445519445,89.16723087339201
17,stage2,0.3739770759922871,88.29865638641647,0.32557683118752073,89.52832317761228
18,stage2,0.36111606365960575,88.76353534780883,0.32296813795609136,89.66373279169488
19,stage2,0.35078550529652747,88.96762855037133,0.31757781633308957,89.68630106070864
20,stage2,0.3499026849218037,89.01865185101197,0.31516777234418053,89.9119837508463
