epoch,train_loss,train_acc,val_loss,val_acc
1,1.1404868290908095,67.22603322183797,0.5719166728002685,81.38117806364252
2,0.5857556930918625,81.68830432564204,0.45163425207138064,85.05980591288647
3,0.49448477206886676,84.37553149271501,0.4122953738485064,86.50417512976755
4,0.4408171235219292,86.29173989455184,0.3720799601503781,87.97111261566238
5,0.40265601873397827,87.34055218549804,0.3860811861498015,88.60302414804785
6,0.3097286220046057,90.21486478825331,0.2773012514625277,91.4691943127962
7,0.26327215480631677,91.62084018368388,0.26528983946357454,91.62717219589257
8,0.24594719583789507,92.3124893701457,0.2622802668384143,91.96569623109907
9,0.23254311603048575,92.48256703894779,0.2582861236163548,92.0785375761679
10,0.2148911436830742,93.08917739100856,0.25420723621334346,92.25908372827804
11,0.20991387121055438,93.32728612733148,0.25280894615820476,92.21394719025051
12,0.20695360787752745,93.34996314983843,0.2494249307683536,92.39449334236065
13,0.20879970652901608,93.42933272861274,0.2508739235145705,92.21394719025051
14,0.20053155083155286,93.6901184874426,0.24862193507807595,92.19137892123675
15,0.2025250673186088,93.54838709677419,0.24843811967543195,92.19137892123675
16,0.1983863291317138,93.80350359997732,0.24718871851052557,92.37192507334687
17,0.20058676562663438,93.80917285560406,0.24753591333116803,92.30422026630558
18,0.2041802268097366,93.5030330517603,0.2520220210509641,92.0785375761679
19,0.20573608242515204,93.48035602925336,0.25031501863683975,92.23651545926427
20,0.20093574212945026,93.78649583309712,0.24669263490608762,92.43962988038817
