epoch,train_loss,train_acc,val_loss,val_acc
1,2.330578965553339,52.54266114859119,1.3456661364861897,61.47596479350034
2,1.3795599350030872,70.21940019275469,1.2682400939720018,65.26743398781313
3,1.162325722583826,74.56205000283462,0.9058259946959359,73.07605506657639
4,1.027942595274552,77.15856907987981,0.8974707549171789,74.20446851726473
5,0.8956537471301314,80.0839049832757,0.7972711822816304,76.50643195666892
6,0.6522976645956868,85.52639038494246,0.37964575716427396,87.79056646355224
7,0.5501443836568058,87.74873859062305,0.34665784303631103,88.82870683818551
8,0.507526242862577,88.97896706162481,0.33808908526386533,88.98668472128188
9,0.49371970347736194,88.85424343783662,0.33158956957714897,89.3026404874746
10,0.45255399992068607,89.78400136062135,0.3207082831433841,89.82171067479125
11,0.44976759907128155,89.66494699245989,0.3080852212650435,90.00225682690137
12,0.44330366117798764,90.1978570213731,0.30884598110403333,90.09252990295644
13,0.43215412376583484,90.24321106638698,0.3045447813613074,90.20537124802527
14,0.4233437686942626,90.41895799081581,0.3055679580995015,90.22793951703905
15,0.41226461130207864,90.65139747151198,0.30413814783096316,90.20537124802527
16,0.4277020337572996,90.29423436702761,0.3030459489141192,90.36334913112164
17,0.41646525954854663,90.56068938148421,0.30555376942668644,90.3182125930941
18,0.4278458809291107,90.34525766766824,0.30313462359564647,90.3182125930941
19,0.42867831270331924,90.25454957764046,0.3050677073853357,90.1150981719702
20,0.42479026997866837,90.52100459209706,0.30591541571276526,90.18280297901151
